city,state,avg_monthly_rent,avg_annual_income,avg_monthly_income,avg_rent_burden,zip_count,rent_burden_percent,affordability_category
Allentown,PA,1732.9322710622712,122853.80875006063,10237.817395838387,0.5015351664042884,30,50.15351664042884,Severely Burdened
Alliance,OH,834.7222222222222,129983.70779259742,10831.975649383117,0.23737671103070346,6,23.737671103070348,Affordable
Allison Park,PA,1372.25,126426.4487033752,10535.537391947933,0.43949855525088316,6,43.94985552508832,Burdened
Allouez,WI,1218.7916666666667,176014.82202016853,14667.901835014045,0.34972125338667115,6,34.97212533866711,Borderline
Alpharetta,GA,2233.9057615593665,141898.91956596726,11824.909963830605,0.6921130098573971,12,69.21130098573971,Severely Burdened
Alpine,CA,2249.194444444445,119432.45301932935,9952.704418277444,0.6554128042567612,6,65.54128042567612,Severely Burdened
Alpine,MI,1209.25,122046.75268278814,10170.56272356568,0.3563204143791776,6,35.63204143791776,Borderline
Alsip,IL,1509.4444444444443,101664.00174864999,8472.000145720831,0.42546426656155356,6,42.546426656155354,Burdened
Altadena,CA,3957.5,153582.0006566033,12798.500054716942,0.6101810570722793,5,61.01810570722793,Severely Burdened
Altamonte Springs,FL,1657.805654635414,125660.59435171715,10471.716195976429,0.46003738814774975,12,46.00373881477498,Burdened
Alton,IL,1072.0555555555554,128882.64145461451,10740.220121217875,0.3033346933545842,6,30.333469335458418,Borderline
Alton,TX,1070.3219696969695,149176.22418778428,12431.35201564869,0.2932058335173741,6,29.32058335173741,Affordable
Altoona,IA,1533.952380952381,114160.7054892282,9513.39212410235,0.4335689043361651,6,43.356890433616506,Burdened
Altoona,PA,1118.888888888889,126353.46481304088,10529.455401086741,0.33274792706841455,6,33.27479270684145,Borderline
Altoona,WI,1404.1666666666667,127437.47390823074,10619.789492352562,0.40722063710730444,6,40.722063710730446,Burdened
Altus,OK,810.0,111458.285635688,9288.190469640665,0.23242468417342754,6,23.242468417342753,Affordable
Alvarado,TX,1545.8333333333337,129169.0495520128,10764.087462667734,0.4331509994604574,6,43.315099946045734,Burdened
Alvin,TX,1566.25,111620.45286775536,9301.704405646278,0.4397254265815695,6,43.97254265815695,Burdened
Amarillo,TX,1290.302414021164,160483.28510633518,13373.6070921946,0.36623800295537096,48,36.623800295537094,Borderline
Ambler,PA,1954.2444444444443,157831.4273548995,13152.618946241628,0.6386395541090039,6,63.86395541090039,Severely Burdened
Ambridge,PA,958.7777777777777,112527.01362782788,9377.251135652323,0.28324876600314924,6,28.324876600314923,Affordable
Amelia,OH,1555.1666666666667,107735.64355544915,8977.970296287429,0.44302745895573786,6,44.302745895573786,Burdened
American Fork,UT,1876.7731092436973,158406.62525725245,13200.552104771037,0.5552891338667539,6,55.52891338667539,Severely Burdened
Ames,IA,1057.1273095776774,126247.85375617498,10520.65447968125,0.30038397547123774,12,30.038397547123775,Borderline
Amesbury,MA,2588.288888888889,115634.40529896163,9636.200441580137,0.7913021074593733,6,79.13021074593733,Severely Burdened
Amherst,MA,2564.961843711844,122677.1594146052,10223.096617883768,0.7810118949438692,6,78.10118949438693,Severely Burdened
Amityville,NY,2839.1666666666665,116243.35068016317,9686.945890013596,0.8209847981052358,6,82.09847981052359,Severely Burdened
Ammon,ID,1745.5,140647.14444554804,11720.595370462333,0.5077147051019911,6,50.771470510199116,Severely Burdened
Amsterdam,NY,1337.5,136682.98368489565,11390.248640407968,0.3812136425467636,6,38.12136425467636,Borderline
Anacortes,WA,2590.9166666666665,141687.2547576266,11807.271229802214,0.7615552874581679,6,76.1555287458168,Severely Burdened
Anaheim,CA,2696.545138812597,120745.56559051995,10062.130465876664,0.7134385885504673,41,71.34385885504673,Severely Burdened
Anchorage,AK,1925.8047657595005,130633.51945788202,10886.126621490168,0.5172827561395521,59,51.72827561395521,Severely Burdened
Anderson,CA,1597.5555555555557,109536.34067750194,9128.028389791829,0.454800955344056,6,45.4800955344056,Burdened
Anderson,IN,1055.4601449275362,100322.23047670764,8360.185873058972,0.3149412099907709,23,31.49412099907709,Borderline
Anderson,SC,1274.6642857142858,123024.34428693308,10252.028690577756,0.3636269290235147,18,36.36269290235147,Borderline
Andover,KS,1713.888888888889,140848.13020866746,11737.34418405562,0.5151370420167599,6,51.51370420167599,Severely Burdened
Andover,MA,2692.2074074074076,178783.49490200775,14898.624575167312,0.4065718408041995,5,40.65718408041995,Burdened
Andover,MN,2671.25,123483.62539280577,10290.302116067147,0.8132877353916769,6,81.32877353916768,Severely Burdened
Angier,NC,1947.6666666666667,114309.4262590715,9525.785521589292,0.551434663817646,6,55.143466381764604,Severely Burdened
Angleton,TX,1528.25,111866.04339520709,9322.170282933925,0.42556232893844353,6,42.55623289384435,Burdened
Angola,IN,1009.888888888889,130219.1516139133,10851.595967826108,0.3062476743380699,6,30.624767433806987,Borderline
Ankeny,IA,1456.2793072424654,138692.58785895957,11557.715654913298,0.422696876487812,12,42.2696876487812,Burdened
Ann Arbor,MI,2243.997295853719,137629.7880248304,11469.1490020692,0.6904197695490345,24,69.04197695490345,Severely Burdened
